permno,date,prc,ret,vol,ticker
10107,2015-03-05,43.11,0.001277,23193541.0,MSFT
10107,2015-03-06,42.36,-0.017397,36249015.0,MSFT
12742,2015-03-06,264.63,-0.013826,1595936.0,LNKD
12742,2015-03-06,264.63,-0.013826,1595936.0,LNKD
12742,2015-03-09,267.20999,0.009749,827127.0,LNKD
10107,2015-03-09,42.85,0.011568,32107964.0,MSFT
12742,2015-03-09,267.20999,0.009749,827127.0,LNKD
10107,2015-03-10,42.03,-0.019137,39159743.0,MSFT
12742,2015-03-10,265.0,-0.008271,1178705.0,LNKD
12742,2015-03-10,265.0,-0.008271,1178705.0,LNKD
12742,2015-03-11,264.95001,-0.000189,1211288.0,LNKD
12742,2015-03-11,264.95001,-0.000189,1211288.0,LNKD
10107,2015-03-11,41.98,-0.00119,32215323.0,MSFT
12742,2015-03-12,266.42001,0.005548,944113.0,LNKD
10107,2015-03-12,41.02,-0.022868,59990718.0,MSFT
12742,2015-03-12,266.42001,0.005548,944113.0,LNKD
10107,2015-03-13,41.38,0.008776,58007714.0,MSFT
12742,2015-03-13,259.12,-0.0274,1700504.0,LNKD
12742,2015-03-13,259.12,-0.0274,1700504.0,LNKD
12742,2015-03-16,260.17001,0.004052,1067582.0,LNKD
10107,2015-03-16,41.56,0.00435,35273484.0,MSFT
12742,2015-03-16,260.17001,0.004052,1067582.0,LNKD
12742,2015-03-17,258.70999,-0.005612,1337190.0,LNKD
10107,2015-03-17,41.695,0.003248,31673648.0,MSFT
12742,2015-03-17,258.70999,-0.005612,1337190.0,LNKD
12742,2015-03-18,260.14999,0.005566,1594567.0,LNKD
10107,2015-03-18,42.5,0.019307,44194782.0,MSFT
12742,2015-03-18,260.14999,0.005566,1594567.0,LNKD
10107,2015-03-19,42.285,-0.005059,33879509.0,MSFT
12742,2015-03-19,260.57999,0.001653,750932.0,LNKD
12742,2015-03-19,260.57999,0.001653,750932.0,LNKD
10107,2015-03-20,42.88,0.014071,71904546.0,MSFT
12742,2015-03-20,264.25,0.014084,1198215.0,LNKD
12742,2015-03-20,264.25,0.014084,1198215.0,LNKD
12742,2015-03-23,261.84,-0.00912,664854.0,LNKD
12742,2015-03-23,261.84,-0.00912,664854.0,LNKD
10107,2015-03-23,42.855,-0.000583,26246099.0,MSFT
12742,2015-03-24,264.16,0.00886,1110627.0,LNKD
10107,2015-03-24,42.9,0.00105,25513266.0,MSFT
12742,2015-03-24,264.16,0.00886,1110627.0,LNKD
10107,2015-03-25,41.46,-0.033567,43469917.0,MSFT
12742,2015-03-25,256.04999,-0.030701,1175170.0,LNKD
12742,2015-03-25,256.04999,-0.030701,1175170.0,LNKD
12742,2015-03-26,255.78999,-0.001015,849093.0,LNKD
10107,2015-03-26,41.21,-0.00603,37495635.0,MSFT
12742,2015-03-26,255.78999,-0.001015,849093.0,LNKD
12742,2015-03-27,256.70999,0.003597,577538.0,LNKD
10107,2015-03-27,40.97,-0.005824,34401409.0,MSFT
12742,2015-03-27,256.70999,0.003597,577538.0,LNKD
10107,2015-03-30,40.96,-0.000244,35049672.0,MSFT
12742,2015-03-30,255.19,-0.005921,791931.0,LNKD
12742,2015-03-30,255.19,-0.005921,791931.0,LNKD
12742,2015-03-31,249.86,-0.020886,1105231.0,LNKD
10107,2015-03-31,40.655,-0.007446,34887219.0,MSFT
12742,2015-03-31,249.86,-0.020886,1105231.0,LNKD
10107,2015-04-01,40.72,0.001599,36865335.0,MSFT
12742,2015-04-01,248.32001,-0.006163,1114247.0,LNKD
12742,2015-04-01,248.32001,-0.006163,1114247.0,LNKD
10107,2015-04-02,40.29,-0.01056,37487487.0,MSFT
12742,2015-04-02,248.82001,0.002014,651612.0,LNKD
12742,2015-04-02,248.82001,0.002014,651612.0,LNKD
10107,2015-04-06,41.545,0.031149,39223703.0,MSFT
12742,2015-04-06,249.31,0.001969,821621.0,LNKD
12742,2015-04-06,249.31,0.001969,821621.0,LNKD
12742,2015-04-07,249.81,0.002006,936866.0,LNKD
12742,2015-04-07,249.81,0.002006,936866.0,LNKD
10107,2015-04-07,41.53,-0.000361,28809388.0,MSFT
12742,2015-04-08,252.25999,0.009807,1061134.0,LNKD
10107,2015-04-08,41.42,-0.002649,24753446.0,MSFT
12742,2015-04-08,252.25999,0.009807,1061134.0,LNKD
10107,2015-04-09,41.48,0.001449,25723871.0,MSFT
12742,2015-04-09,256.14001,0.015381,1481160.0,LNKD
12742,2015-04-09,256.14001,0.015381,1481160.0,LNKD
10107,2015-04-10,41.72,0.005786,28022013.0,MSFT
12742,2015-04-10,265.35001,0.035957,2305904.0,LNKD
12742,2015-04-10,265.35001,0.035957,2305904.0,LNKD
12742,2015-04-13,263.16,-0.008253,1455692.0,LNKD
12742,2015-04-13,263.16,-0.008253,1455692.0,LNKD
10107,2015-04-13,41.76,0.000959,30276703.0,MSFT
12742,2015-04-14,257.5,-0.021508,1509746.0,LNKD
10107,2015-04-14,41.65,-0.002634,24244889.0,MSFT
12742,2015-04-14,257.5,-0.021508,1509746.0,LNKD
12742,2015-04-15,257.19,-0.001204,904213.0,LNKD
10107,2015-04-15,42.255,0.014526,27344592.0,MSFT
12742,2015-04-15,257.19,-0.001204,904213.0,LNKD
12742,2015-04-16,257.07001,-0.000467,838054.0,LNKD
10107,2015-04-16,42.16,-0.002248,22509664.0,MSFT
12742,2015-04-16,257.07001,-0.000467,838054.0,LNKD
10107,2015-04-17,41.615,-0.012927,42387779.0,MSFT
12742,2015-04-17,253.75,-0.012915,1118173.0,LNKD
12742,2015-04-17,253.75,-0.012915,1118173.0,LNKD
12742,2015-04-20,258.51999,0.018798,2122033.0,LNKD
12742,2015-04-20,258.51999,0.018798,2122033.0,LNKD
10107,2015-04-20,42.905,0.030998,46057830.0,MSFT
12742,2015-04-21,258.42001,-0.000387,1136257.0,LNKD
10107,2015-04-21,42.635,-0.006293,26013851.0,MSFT
12742,2015-04-21,258.42001,-0.000387,1136257.0,LNKD
12742,2015-04-22,259.35001,0.003599,880562.0,LNKD
10107,2015-04-22,42.985,0.008209,25064283.0,MSFT
12742,2015-04-22,259.35001,0.003599,880562.0,LNKD
10107,2015-04-23,43.34,0.008259,46359542.0,MSFT
12742,2015-04-23,256.23999,-0.011992,851266.0,LNKD
12742,2015-04-23,256.23999,-0.011992,851266.0,LNKD
12742,2015-04-24,260.95001,0.018381,1318766.0,LNKD
10107,2015-04-24,47.87,0.104522,130936118.0,MSFT
12742,2015-04-24,260.95001,0.018381,1318766.0,LNKD
12742,2015-04-27,260.29001,-0.002529,1055867.0,LNKD
12742,2015-04-27,260.29001,-0.002529,1055867.0,LNKD
10107,2015-04-27,48.03,0.003342,59248192.0,MSFT
10107,2015-04-28,49.155,0.023423,60730792.0,MSFT
12742,2015-04-28,257.34,-0.011334,1552730.0,LNKD
12742,2015-04-28,257.34,-0.011334,1552730.0,LNKD
12742,2015-04-29,257.14999,-0.000738,1096686.0,LNKD
12742,2015-04-29,257.14999,-0.000738,1096686.0,LNKD
10107,2015-04-29,49.06,-0.001933,47804562.0,MSFT
10107,2015-04-30,48.64,-0.008561,64725657.0,MSFT
12742,2015-04-30,252.13,-0.019522,6162882.0,LNKD
12742,2015-04-30,252.13,-0.019522,6162882.0,LNKD
10107,2015-05-01,48.655,0.000308,39012551.0,MSFT
12742,2015-05-01,205.21001,-0.186094,16842432.0,LNKD
12742,2015-05-01,205.21001,-0.186094,16842432.0,LNKD
10107,2015-05-04,48.24,-0.008529,34039495.0,MSFT
12742,2015-05-04,203.42,-0.008723,5839657.0,LNKD
12742,2015-05-04,203.42,-0.008723,5839657.0,LNKD
10107,2015-05-05,47.6,-0.013267,50369197.0,MSFT
12742,2015-05-05,199.83,-0.017648,4150159.0,LNKD
12742,2015-05-05,199.83,-0.017648,4150159.0,LNKD
12742,2015-05-06,200.22,0.001952,3092388.0,LNKD
12742,2015-05-06,200.22,0.001952,3092388.0,LNKD
10107,2015-05-06,46.28,-0.027731,52433033.0,MSFT
12742,2015-05-07,201.41,0.005943,2089145.0,LNKD
12742,2015-05-07,201.41,0.005943,2089145.0,LNKD
10107,2015-05-07,46.7,0.009075,32971665.0,MSFT
10107,2015-05-08,47.75,0.022484,35364924.0,MSFT
12742,2015-05-08,198.72,-0.013356,2970069.0,LNKD
12742,2015-05-08,198.72,-0.013356,2970069.0,LNKD
12742,2015-05-11,200.25999,0.00775,2081766.0,LNKD
10107,2015-05-11,47.37,-0.007958,24609428.0,MSFT
12742,2015-05-11,200.25999,0.00775,2081766.0,LNKD
10107,2015-05-12,47.35,-0.000422,29928275.0,MSFT
12742,2015-05-12,200.24001,-0.0001,1356219.0,LNKD
12742,2015-05-12,200.24001,-0.0001,1356219.0,LNKD
10107,2015-05-13,47.625,0.005808,34184623.0,MSFT
12742,2015-05-13,196.87,-0.01683,2086747.0,LNKD
12742,2015-05-13,196.87,-0.01683,2086747.0,LNKD
12742,2015-05-14,194.49001,-0.012089,3744970.0,LNKD
10107,2015-05-14,48.72,0.022992,32980892.0,MSFT
12742,2015-05-14,194.49001,-0.012089,3744970.0,LNKD
12742,2015-05-15,195.66,0.006016,1521327.0,LNKD
10107,2015-05-15,48.295,-0.008723,28642700.0,MSFT
12742,2015-05-15,195.66,0.006016,1521327.0,LNKD
10107,2015-05-18,48.01,-0.005901,24136508.0,MSFT
12742,2015-05-18,198.38,0.013902,3805944.0,LNKD
12742,2015-05-18,198.38,0.013902,3805944.0,LNKD
12742,2015-05-19,194.22,-0.02097,2485880.0,LNKD
10107,2015-05-19,47.58,-0.002499,28574820.0,MSFT
12742,2015-05-19,194.22,-0.02097,2485880.0,LNKD
12742,2015-05-20,193.8,-0.002162,1500610.0,LNKD
12742,2015-05-20,193.8,-0.002162,1500610.0,LNKD
10107,2015-05-20,47.58,0.0,25047920.0,MSFT
10107,2015-05-21,47.42,-0.003363,22410822.0,MSFT
12742,2015-05-21,197.03999,0.016718,2230762.0,LNKD
12742,2015-05-21,197.03999,0.016718,2230762.0,LNKD
12742,2015-05-22,196.23,-0.004111,1412770.0,LNKD
10107,2015-05-22,46.9,-0.010966,25724597.0,MSFT
12742,2015-05-22,196.23,-0.004111,1412770.0,LNKD
10107,2015-05-26,46.59,-0.00661,29581868.0,MSFT
12742,2015-05-26,195.78999,-0.002242,1419490.0,LNKD
12742,2015-05-26,195.78999,-0.002242,1419490.0,LNKD
10107,2015-05-27,47.61,0.021893,27335654.0,MSFT
12742,2015-05-27,197.99001,0.011237,1326645.0,LNKD
12742,2015-05-27,197.99001,0.011237,1326645.0,LNKD
10107,2015-05-28,47.45,-0.003361,19283672.0,MSFT
12742,2015-05-28,196.23,-0.008889,1333387.0,LNKD
12742,2015-05-28,196.23,-0.008889,1333387.0,LNKD
12742,2015-05-29,194.92999,-0.006625,1569023.0,LNKD
10107,2015-05-29,46.86,-0.012434,36523700.0,MSFT
12742,2015-05-29,194.92999,-0.006625,1569023.0,LNKD
12742,2015-06-01,200.77,0.02996,2792190.0,LNKD
10107,2015-06-01,47.23,0.007896,28837332.0,MSFT
12742,2015-06-01,200.77,0.02996,2792190.0,LNKD
12742,2015-06-02,204.81,0.020123,3258974.0,LNKD
12742,2015-06-02,204.81,0.020123,3258974.0,LNKD
10107,2015-06-02,46.92,-0.006564,21519406.0,MSFT
12742,2015-06-03,213.25,0.041209,4291187.0,LNKD
12742,2015-06-03,213.25,0.041209,4291187.0,LNKD
10107,2015-06-03,46.85,-0.001492,28002162.0,MSFT
12742,2015-06-04,212.83,-0.00197,2685468.0,LNKD
12742,2015-06-04,212.83,-0.00197,2685468.0,LNKD
10107,2015-06-04,46.36,-0.010459,27745542.0,MSFT
12742,2015-06-05,213.8,0.004558,1812636.0,LNKD
10107,2015-06-05,46.14,-0.004746,25438093.0,MSFT
12742,2015-06-05,213.8,0.004558,1812636.0,LNKD
12742,2015-06-08,212.03999,-0.008232,1706628.0,LNKD
12742,2015-06-08,212.03999,-0.008232,1706628.0,LNKD
10107,2015-06-08,45.73,-0.008886,22121638.0,MSFT
12742,2015-06-09,216.83,0.02259,2490211.0,LNKD
10107,2015-06-09,45.65,-0.001749,24406957.0,MSFT
12742,2015-06-09,216.83,0.02259,2490211.0,LNKD
12742,2015-06-10,216.7,-0.0006,1772391.0,LNKD
10107,2015-06-10,46.61,0.02103,28417642.0,MSFT
12742,2015-06-10,216.7,-0.0006,1772391.0,LNKD
10107,2015-06-11,46.44,-0.003647,27347762.0,MSFT
12742,2015-06-11,217.95,0.005768,1093158.0,LNKD
12742,2015-06-11,217.95,0.005768,1093158.0,LNKD
12742,2015-06-12,215.72,-0.010232,941757.0,LNKD
12742,2015-06-12,215.72,-0.010232,941757.0,LNKD
10107,2015-06-12,45.97,-0.010121,23930979.0,MSFT
12742,2015-06-15,215.75,0.000139,989981.0,LNKD
12742,2015-06-15,215.75,0.000139,989981.0,LNKD
10107,2015-06-15,45.475,-0.010768,33307359.0,MSFT
12742,2015-06-16,217.28999,0.007138,979955.0,LNKD
10107,2015-06-16,45.83,0.007807,27070319.0,MSFT
12742,2015-06-16,217.28999,0.007138,979955.0,LNKD
10107,2015-06-17,45.97,0.003055,28704069.0,MSFT
12742,2015-06-17,215.91,-0.006351,1160041.0,LNKD
12742,2015-06-17,215.91,-0.006351,1160041.0,LNKD
10107,2015-06-18,46.72,0.016315,32658921.0,MSFT
12742,2015-06-18,217.75,0.008522,1212436.0,LNKD
